企業名,キャッチコピー,ステータス,初年度年収
株式会社ムーブ | ＜新事業も展開！複数の事業柱で安定＞★産休育休取得実績あり,特別な瞬間をカタチに残す【映像制作スタッフ】★大阪限定募集 正社員,正社員,300万円～400万円
株式会社テクノ東北 | ◆賞与8ヶ月分※前期実績◆有休は入社時10日付与◆完休2日(土日),大手携帯位置情報分析システム開発：100％自社内開発【社内SE】 正社員,正社員,400万円～800万円
SATT九州株式会社 | 【 宮崎本社 】”駿台グループ”のIT部門を担う健康経営優良法人,学校運営を支えるシステム基盤の【 SE・PG 】＃フレックスタイム 正社員,正社員,
株式会社崎山組 | ＜テレワーク可＞事業拡大＆新体制構築中！滋賀の優良企業,システムを支え、経営にも参加できる【社内SE】★年休120日以上 正社員,正社員,
三和ペイント株式会社 | ☆先輩社員のほとんどが年収UP！裁量大きく活躍可！☆全国募集,コロナ禍でも減給＆解雇ゼロ！塗装の【営業職】☆未経験歓迎！ 正社員,正社員,
株式会社日立ソリューションズ | ともにつくる未来は、つよい。,【ソリューション営業】（多彩な製品群でお客様の課題を解決） 正社員,正社員,
株式会社サンメディカル | 基本在宅勤務／残業月5h以内／産休育休の取得実績多数／面接1回,電話で指導★美容商品の【お客様対応スタッフ】★未経験歓迎 正社員,正社員,300万円～360万円
株式会社日立ソリューションズ | 「創業110年の日立グループ」世の中を便利に、楽しくする会社,データソリューションを推進する【システムエンジニア】 正社員,正社員,
株式会社日立システムズ | <人とITの力で、驚きと感動のサービスを>,基幹業務システムの【導入SE】◆日立グループでスキルを活かす◆ 正社員,正社員,
株式会社日立システムズパワーサービス | 社会インフラを支えているICT企業/安定と成長を両立,日立グループの安定基盤のもとで成長を実感できる【人事・労務】 正社員,正社員,370万円～525万円
株式会社 日立製作所,社会システムの最上流工程から活躍する【ＳＥ】 正社員,正社員,
株式会社日立製作所,大規模インテグレーション案件の【セキュリティSE】※大森勤務 正社員,正社員,
株式会社日立製作所 | ＜東証一部上場企業＞,デジタルソリューション事業を支える調達担当者 正社員,正社員,440万円～830万円
株式会社オーリュクス | #自社内開発100％ #直取引案件 #PGからSEへのキャリアUPにも最適,テレワーク/フレックスOK!自社クラウドに携わる【ITエンジニア】 正社員,正社員,350万円～900万円
株式会社サンワ | 2020年過去最高収益★今も成長を続けるオリジナルグッズメーカー,年休126日・土日休み★【社内SE補助】社員向けPC関連のサポート 契約社員,契約社員,
株式会社日立システムズパワーサービス | 日立グループ×東京電力の戦略子会社の安定環境で社会基盤に貢献,エネルギー基盤を支える【コンサルティング営業】 正社員,正社員,400万円～570万円
アラクサラネットワークス株式会社,ネットワーク社会を支える【生産システム設計者】 正社員,正社員,
アオイ建設株式会社 | ★東証一部上場企業『ファースト住建』グループで基盤安定,【社内SE】★土日休み ★残業10h程度 ★経験が浅くても応募OK！ 正社員,正社員,400万円～500万円
