企業名,キャッチコピー,ステータス,初年度年収
アークシステム株式会社 | ポテンシャル重視の採用！／研修制度充実！／在宅勤務可能,【システムエンジニア】年間休日128日／残業月17h／教育制度充実 正社員,正社員,400万円～600万円
AGENSI PEKERJAAN REERACOEN MALAYSIA SDN. BHD.,複数名採用！日系大手ITグループ企業での【ブリッジエンジニア】 人材バンク登録,人材バンク登録,
"東レ株式会社 | 世界26ヶ国・地域に拠点展開◆連結売上高23,000億円超",【社内SE（アプリ・インフラ）】スキルを活かし上流工程で活躍！ 正社員,正社員,500万円～750万円
エムスタイルジャパン株式会社 | 【美巣（BI-SU）】世界を目指し躍進を続ける注目企業で活躍！,100％社内開発&転勤なし【社内SE（フロントエンドエンジニア）】 正社員,正社員,330万円～450万円
株式会社プロサポート | 前職年収保証／入社祝金10万円／最大90万円の資格手当支給,★離職率ゼロ【SE・PG】残業月15h程／年休125日／引越補助金あり 正社員,正社員,400万円～650万円
公益財団法人神奈川県予防医学協会 | 【60年以上の歴史／神奈川県の総合健康支援機関】★正社員登用有,優良法人で働く【社内SE】★年間休日129日&残業月7～8時間 契約社員,契約社員,350万円～450万円
株式会社北見コンピューター・ビジネス | 【大手企業案件多数！】★年休120日以上／残業平均10h以下,●業務系システム受託開発●【ITエンジニア】★賞与5.2ヶ月分 正社員,正社員,300万円～550万円
株式会社エクスペルト | ◎社長直伝で営業ノウハウを活かせる将来の幹部候補生大募集◎,企業とエンジニアの架け橋となる【ITセールス】年間休日123日☆ 正社員,正社員,300万円～650万円
株式会社CADネットワークサービス,土日休&年間休120日以上！VR事業の【Webエンジニア】★PM候補★ 正社員,正社員,500万円～650万円
株式会社メディアバーン | 【積極面接】★残業月15～20h以下★年休125日以上 ★女性活躍中,【ITエンジニア】――未経験者も経験者も、有意義となる転職を！ 正社員,正社員,300万円～600万円
株式会社トータルシステムエンジニアリング | #残業少なめ#転勤なし#新事業にも関われるチャンス！,自社パッケージの保守運用を担う【社内SE】※年休125日 正社員,正社員,
ランスタッド株式会社 | 完全週休2日制/年間休日121日以上/残業月10時間/平均年齢27.3歳,未経験から叶える【初級ITエンジニア】あなたの成長を支えます！ 正社員,正社員,
株式会社アルスノヴァ | #大阪府緊急雇用対策に賛同 #年休127日/土日休み/残業月平均12ｈ,自社パッケージ＆受託開発【PG/SE】※自社内開発★ご経験者優遇 正社員,正社員,330万円～550万円
株式会社ウィズウェイ | 5月の残業平均1.4時間／有給消化率高水準／完全週休2日制(土日),自社内案件多数【ITエンジニア】★テレワーク導入★資格手当有り 正社員,正社員,400万円～750万円
ランスタッド株式会社 | 完全週休2日制/年間休日121日以上/残業月10時間/平均年齢27.3歳,ゼロから「事務＋α」のスキルを手にする♪【ITサポート事務】 正社員,正社員,
王子ビジネスセンター株式会社 | ★王子ホールディングス(株)グループ★年休120日以上/残業月20h,【社内SE（開発/インフラ）】★安心の王子グループで長く働ける 正社員,正社員,350万円～600万円
株式会社船場 | 【東証一部上場企業・1947年創業の老舗大手】年間休日120日以上,安定基盤で経営を財務の視点から携われる【財務経理部スタッフ】 正社員,正社員,360万円～450万円
株式会社ヤマシタ | 【創業58年！無借金黒字経営・8年連続売上増】★福利厚生充実,上流工程も担当できる【社内SE】☆フレックス勤務☆年休122日 正社員,正社員,400万円～700万円
株式会社船場 | 【東証一部上場企業・1947年創業の老舗大手】年間休日120日以上,課題解決や戦略立案などに携われる【経営企画課長候補】 正社員,正社員,600万円～650万円
専門学校 岡山情報ビジネス学院 | 【 カバヤ・オハヨーグループ 】★10日以上の長期休暇取得可能！,【 講師(IT系学科) 】残業月平均10ｈ／賞与実績4.5ヶ月分！ 正社員,正社員,350万円～530万円
株式会社ニア | ★フレックス制★転勤なし★土日祝休み★昨年度の残業月平均5.2h,【ITエンジニア(SE・PG)】宮城が好き・地域貢献したい方歓迎！ 正社員,正社員,240万円～420万円
TIS西日本株式会社 | ★上流工程も手掛けられる！ ★年間休日120日以上 ★残業16h以内,【SE】上場グループ企業で公私ともに充実！※リーダー候補 正社員,正社員,350万円～500万円
三谷コンピュータ株式会社 | 全国約400の自治体との取引がある、IT業界の老舗です。,自治体向けのシステム・インフラの【営業】 正社員,正社員,
株式会社ソフトサービスライフケア | ★業界大手(株)ソフトサービスホールディングスのグループ会社！,医療システムの上流工程に携わる！【導入SE】≪ 福岡限定募集 ≫ 正社員,正社員,350万円～600万円
株式会社イナリサーチ | ＜JASDAQ上場＞医薬関連の安全性・薬効薬理などの試験を行う企業,試験部門での【社内SE】 ◎完全土日祝休み ☆年間休日121日 正社員,正社員,320万円～470万円
株式会社ソフトサービスライフケア | ★業界大手(株)ソフトサービスホールディングスのグループ会社！,◎プログラミング技術は不要！【導入SE】≪ 北九州限定募集 ≫ 正社員,正社員,350万円～500万円
AGCアメニテック株式会社 | AGC株式会社(東証一部上場)のグループ会社 ☆建築環境工学専門,自社内100%の【社内SE】＊AGCグループで確かなキャリアを。 正社員,正社員,391万円～686万円
関西ビジネスインフォメーション株式会社 | 【Daigasグループ(旧大阪ガスグループ)】◆大阪限定募集,【システムエンジニア（WEBサービス開発エンジニア）】 正社員,正社員,462万円～591万円
トモニシステムサービス株式会社 | 完全週休2日制(土日祝休み)／基本定時上がり！プライベート充実,東証一部上場トモニHDグループの【社内SE】＊システム開発＊ 正社員,正社員,350万円～600万円
株式会社ピージーシステム | 【広島県主催の委託事業プロジェクトに参画】＊U・Iターン歓迎＊,★広島勤務/転勤なし★【システムエンジニア/プログラマー】 正社員,正社員,
三谷コンピュータ株式会社 | 全国約400の自治体との取引がある、IT業界の老舗です。,自社開発パッケージソフトの【SE】 正社員,正社員,
第一熱原株式会社 | 【創業70年】総売上高263億円の『熱源グループ』の一員に！,《WEB面接可》社内のIT化を進める【社内SE】<前年賞与4.2ヶ月分> 正社員,正社員,300万円～400万円
三谷コンピュータ株式会社 | 全国約400の自治体との取引がある、IT業界の老舗です。,サーバ、インフラ等の構築、サポート【カスタマエンジニア】 正社員,正社員,
関西ビジネスインフォメーション株式会社 | 【Daigasグループ(旧大阪ガスグループ)】◆大阪限定募集,【システムエンジニア（IoTサービス関連の開発管理）】 正社員,正社員,480万円～639万円
大洋エレックス株式会社 | 年間休日は116日で有給休暇の消化率も高め！残業ほぼなし◎,【SE】次世代のAI検査システムの開発をお任せします！ 正社員,正社員,300万円～500万円
株式会社アルゴ | 【 売上成長率188％ 】★年休125日 ★賞与支給実績平均4.3ヶ月,<過去3年離職率3.27％>【 SE 】自社内作業メイン★有給取得率高 正社員,正社員,350万円～550万円
ネクストリンクス株式会社 | ☆残業月13H程度／年間休日120日／土日祝休み／福利厚生充実,【プログラマー】☆将来の管理職候補／定着率95％／賞与4.4ヶ月 正社員,正社員,
株式会社ネイチャーズウェイ,《東京・名古屋》【 社内SE 】自然派化粧品のパイオニア企業 正社員,正社員,343万円～500万円
株式会社船場 | 【東証一部上場企業・1947年創業の老舗大手】年間休日120日以上,【人事労務厚生スタッフ】★残業月10時間程度★完全週休2日制 正社員,正社員,360万円～450万円
株式会社 ホンダカーズ札幌中央 | 札幌ホンダグループ6社を中から支える！<平均年齢36.5歳>,＼安定基盤で腰を据えて活躍！／【社内SE】★中途入社が活躍中 正社員,正社員,350万円～450万円
株式会社クロスリード | 【長年実績ある企業の100％子会社】充実の福利厚生と安定の経営,転勤なし/年間休日127日【インフラエンジニア】で東北に貢献！ 正社員,正社員,400万円～600万円
株式会社ケイズグループ | 働きやすさ◎基本土日休み・年間休日114日,整骨院業界トップクラス企業の【社内SE】残業少なめ 正社員,正社員,400万円～600万円
コスモ・サイエンス株式会社 | 三菱電機グループの直取引100％！安定的に取り組める仕事です！,社内開発100％！安定した環境で活躍【SE】 正社員,正社員,350万円～550万円
株式会社船場 | 【東証一部上場企業・1947年創業の老舗大手】年間休日120日以上,経営を法律の面からサポート！【法務知財スタッフ（課長候補）】 正社員,正社員,600万円～650万円
セントラル短資株式会社 | 創業以来110年以上の伝統を誇る日本に数社しかない国内短資会社,【社内SE(インフラ・運用担当)】★土日祝休み★年休120日 正社員,正社員,400万円～1000万円
株式会社ソフトサービスライフケア | ★業界大手(株)ソフトサービスホールディングスのグループ会社！,医療システムの上流工程に携わる！【導入SE】≪ 東京限定募集 ≫ 正社員,正社員,350万円～600万円
株式会社 シーエスアイ | ＜安定感◎＞東証一部上場企業のCEホールディングス100％子会社,テレワークが基本！【SE】＜完休2日制の年間休日123日＞転勤なし 正社員,正社員,370万円～600万円
株式会社サンゲツ | ◎東証・名証一部上場　◎インテリア専門商社　◎福利厚生充実,《東京｜品川》上場企業で活躍できる【社内SE】※経験者対象 正社員,正社員,450万円～550万円
株式会社ムゲンエステート | ムゲンエステート,【社内SE】◆インフラ開発担当◆経験者採用◆年休123日◆土日休 正社員,正社員,400万円～650万円
株式会社ブルーオーシャンシステム | 「気づく」「学ぶ」「つなぐ」を支援する！,【SE】医療・福祉業界でニーズの高いパッケージソフトの開発 正社員,正社員,375万円～750万円
株式会社カスタム | システム商材事業の展開を目指す有力測定器メーカー★土日祝休み,アプリ、ネットワーク製品を担当する【開発職/社内SE】 正社員,正社員,432万円～537万円
株式会社神戸マツダ | 創業80年／兵庫県下27店舗／従業員800人以上,マツダ本社で働く！【社内SE】※残業月平均10～20時間程度 正社員,正社員,400万円～600万円
株式会社Dralogi | 日興運送のグループ企業！物流をITスキルで支える,在宅ワークもOKの【PG／SE】※年間休日125日！原則定時退社 正社員,正社員,600万円～700万円
キーコーヒー株式会社 | 【東証一部上場】フレックス制あり／完全週休2日／年休120日～,【情報システムスタッフ】◆家族・住宅手当あり◆福利厚生が充実 正社員,正社員,400万円～650万円
株式会社ムゲンエステート | ムゲンエステート,【社内SE】◆システム企画担当◆経験者採用◆年休123日◆土日休 正社員,正社員,400万円～650万円
株式会社グロービス | ●残業月20H程度●福利厚生充実●リモート勤務制度もあり,マーケティング経験を積める【CRM・MA担当エンジニア】 正社員,正社員,400万円～600万円
株式会社URシステムズ | 【UR都市機構グループ】年休123日／土日祝休み／産育休実績あり,【テクニカルサポート】※各種福利厚生充実／賞与実績4.5ヶ月分 正社員,正社員,440万円～540万円
マリモ電子工業株式会社,お客様が抱える課題をIT技術で解決する【提案営業】※年休124日 正社員,正社員,300万円～450万円
三輪精機株式会社 | 経産省認定＜地域未来牽引企業＞／社食、送迎、手当など制度充実,【社内SE】＊残業月10～20h程度 ＊土日の週休2日制 正社員,正社員,350万円～450万円
三建産業株式会社 | 創業71年！世界30カ国以上に取引先を持つ老舗プラントメーカー,広島勤務！転勤なし【社内SE】年間休日125日！残業少なめ◎ 正社員,正社員,400万円～600万円
ドクターキューブ株式会社 | 医院向けシステムのメーカー 定着率◎※手当充実！年休120日以上,大阪限定募集！【提案営業】昨年度実績7ヶ月分！未経験OK 正社員,正社員,300万円～500万円
株式会社スナーク | 本社勤務／1次受けのみ／残業時間平均20時間以内／年間休日127日,大手案件の物流システム等を自社内開発★【PG・SE（PM候補）】 正社員,正社員,300万円～800万円
トランコムITS株式会社 | 独立系システム開発×東証一部上場グループ＝選択肢、多数！,スキルを活かして活躍！【SE】※在宅ワーク可能 ※年間休日122日 正社員,正社員,
株式会社長谷工コーポレーション | 65万戸のマンション設計・施工を行う東証一部上場企業◎,【社内SE（情報セキュリティ担当）】 正社員,正社員,500万円～700万円
"株式会社アークス | 【ラルズ,ユニバースの純粋持株会社】転勤なし/土日祝/賞与年2回",東証一部上場企業で働く【社内SE(情報システム担当)】★主任採用 正社員,正社員,420万円～530万円
PSP株式会社 | 年間休日125日／産育休実績あり／賞与平均5ヶ月分／福利厚生充実,医用システム業界トップクラスの会社で活躍！【社内SE】 正社員,正社員,400万円～600万円
株式会社アーシャルデザイン | チーム・スクール運営を行うなどスポーツ関連事業も展開中！,未経験者・第二新卒者歓迎【IT総合職】※6ヶ月の研修有／残業無 正社員,正社員,300万円～600万円
株式会社日立アドバンストシステムズ | 日立グループ -未来の“安全・安心”をカタチにする-,【SE】 ◆社会の安心・安全を支える/防衛省向けのシステム開発 正社員,正社員,450万円～750万円
学校法人桑沢学園 | 東京造形大学/専門学校桑沢デザイン研究所,【専任職員（情報システム課）】 8月9日(月)応募書類必着 正社員,正社員,
株式会社日立製作所 | 日立の公共ビジネス部門を支える◆SI業界での経験を活かせます,【SE】デジタルソリューションで公共システムの進化・発展に貢献 正社員,正社員,
株式会社セットアップ | ＜30代中心に活躍中！＞介護業界を牽引するSOMPOケアグループ,【社内SE（インフラエンジニア）】★岡山勤務★U/Iターン歓迎 正社員,正社員,350万円～600万円
株式会社ドン・キホーテ | 東証一部上場PPIHグループ/大阪府緊急雇用対策に賛同★月9日休み,【生鮮部門の売場責任者候補】★月給30万円以上も可★全国募集 正社員,正社員,370万円～800万円
株式会社川村金属製作所 | ★年休120日★トヨタグループのダイハツ工業Tier1メーカー,新部署設立/ダイハツグループの【社内SE/システム開発】土日休み 正社員,正社員,
株式会社 日立インダストリアルプロダクツ | 大型産業機器事業を担う日立製作所 100%出資会社,【社内SE】～日立グループの新会社でご活躍ください！～ 正社員,正社員,
株式会社ライズテック | 年休122日／土日祝休み／残業月12h程度／最大9連休取得可能,スキルを最大限に発揮【ITエンジニア(PL・PM候補)】★WEB面接OK 正社員,正社員,450万円～650万円
株式会社日立システムズ | <人とITの力で、驚きと感動のサービスを>,データ統合システムの導入【SE】(PL/導入/ユーザーサポート) 正社員,正社員,
株式会社カンセキ | 【JASDAQ上場】残業ほぼなし&転勤なしで、長く安定して働ける！,【社内SE】アウトドア専門店「WILD-1」を運営する上場企業で活躍 正社員,正社員,350万円～500万円
株式会社アイティジョイン | 会社独自のポイント制度あり｜将来は会社の一端を担う存在へ！,何年先も変わることのない“ITの本質”を学ぶ【ITエンジニア】 正社員,正社員,300万円～600万円
株式会社日立システムズパワーサービス | 日立グループ、東京電力というバックボーンを持つICTカンパニー,エネルギーインフラを支える【システムエンジニア】 正社員,正社員,400万円～700万円
株式会社日立アドバンストシステムズ | 日立グループ -未来の“安全・安心”をカタチにする-,防衛省向けサイバー案件の【SE】◆プロジェクトの取りまとめ 正社員,正社員,450万円～750万円
株式会社日立システムズ,自治体向けソリューション【営業】広島/秋田勤務 正社員,正社員,
一般社団法人ライフ予防医学センター | 《12年以上、売り上げ右肩上がり》★賞与年3回 ★過度な残業ナシ,健康診断データを扱う【社内SE】★年休120日 ★完全土日休 正社員,正社員,
株式会社シナネンゼオミック | 上場企業グループ／年休126日／賞与実績6.5ヶ月分／テレワーク可,【社内SE】世界トップクラスの抗菌剤メーカー／新部署での募集！ 正社員,正社員,386万円～564万円
日本石油輸送株式会社 | 東証一部上場／創業75年★石油の鉄道輸送を支えるパイオニア企業,30代活躍中★基幹システムの再構築プロジェクトを担う【社内SE】 正社員,正社員,500万円～650万円
"滋賀特機株式会社 | ""環境に特化した""電気機器を提供し、滋賀県内トップクラスの売上",【社内SE】★賞与実績5ヶ月分 ※実質年間休日120日 正社員,正社員,
株式会社インフィライズ | ◆残業月20H以下◆20代活躍中◆年間休日120日,IT事業の【人材コディネーター】★採用業務を中心に活躍！ 正社員,正社員,270万円～500万円
シノブフーズ株式会社 | 【東証二部上場】創業50年【大阪府緊急雇用対策に賛同】,上場企業で活躍する【社内SE】◆残業少なめ◆人物重視の採用 正社員,正社員,330万円～510万円
カサイホールディングス株式会社,【社内SE】システム部スターティングメンバ―★社内20代活躍中★ 正社員,正社員,
株式会社ジェーソン | 【JASDAQ上場】首都圏中心に104店舗のディスカウントストア展開,上場企業のシステムを支える【社内SE】★100％自社内開発！ 正社員,正社員,
株式会社アーシャルデザイン | チーム・スクール運営を行うなどスポーツ関連事業も展開中！,未経験者・第二新卒者歓迎【ITエンジニア・サポート事務】 正社員,正社員,300万円～600万円
アンブレラ株式会社 | NEC・NTTデータ・富士通・日立製作所等大手クライアント案件多数,【ITエンジニア】◎ほぼリモート案件 ◎前職給保証あり 正社員,正社員,280万円～700万円
株式会社スマイルビット | ITのお困りごとに応える顧客貢献企業★残業月平均10h／土日祝休,未経験歓迎！顧客の課題を解決する【ITエンジニア】★自社内勤務 正社員,正社員,360万円～480万円
株式会社中央設備コンサルタント | ★取引先は大阪府・警察本部など◆大阪府緊急雇用対策に賛同,【建築電気設備・交通安全施設の設計】専門スキルを学べます！ 正社員,正社員,
株式会社MJE | 大阪府緊急雇用対策に賛同【注目の西日本ベンチャー100】選出,自社サーバ・インフラを支える【社内インフラ担当】残業10H以内 正社員,正社員,330万円～430万円
株式会社チャーム | アスクル(株)の100%出資子会社／ペット用品の通販でトップクラス,★完全週休2日(土日祝)★残業月14h★【ITエンジニア】※社内SE 正社員,正社員,450万円～750万円
株式会社ミップ | 大手と取引実績多数｜年間休日125日｜賞与最大5ヵ月分,WEBに興味がある方を歓迎！【企画営業・ディレクター】土日祝休 正社員,正社員,380万円～550万円
リープ株式会社 | 年間休日125日以上 ◆ 土日祝 ◆ フレックス制 ◆ 賞与4ヶ月,バックオフィスの「まとめ役」を目指す【管理部門スタッフ】 正社員,正社員,400万円～600万円
株式会社インコス | 創業30周年を迎え更なる飛躍を目指して増員募集！,安定した環境で着実にステップUPできる!【ITエンジニア】 正社員,正社員,270万円～320万円
三昌商事株式会社 | 【 事業拡大の増員募集！】▼完全週休2日制　▼年間休日120日,自社内開発メイン＆自社パッケージあり【 ITエンジニア（PG）】 正社員,正社員,
公益情報システム株式会社 | 官公庁/公益法人の”会計・給与システム”を自社開発！転勤なし,客先常駐なし！”100％”自社内勤務！【システムエンジニア】 正社員,正社員,350万円～450万円
一般財団法人 首都高速道路技術センター | 【◆正社員募集◆完全週休2日(土日祝休み)◆資格取得 支援有り】,首都高の建設/管理で培った技術で社会に貢献【総合職（SE）】 正社員,正社員,
株式会社ワコール | 22ヵ国に事業拠点＆50ヵ国以上に商品を展開するグローバル企業,ワコールで活躍！【総合職（税務／新規事業開発／社内SE）】 正社員,正社員,400万円～800万円
株式会社エクストランス | #大阪府緊急雇用対策に賛同 #健康経営優良法人2021認定,自社クラウドサービスなどの【提案営業】※営業未経験歓迎 正社員,正社員,400万円～500万円
株式会社神奈川新聞社 | 【神奈川県に根ざし抜群の知名度を誇る新聞社】【本社勤務】,神奈川県に根ざす新聞社！【社内SE】働きやすさ抜群！ 正社員,正社員,400万円～520万円
日産車体コンピュータサービス株式会社 | 【NISSANグループ唯一のIT企業！】年間休日121日／残業月20h程度,日産の一次ベンダーとして活躍【SE・PG】100％自社内/神奈川勤務 正社員,正社員,384万円～640万円
インタセクト・コミュニケーションズ株式会社 | 姫路支社｜今期最高売上を更新｜大手と取引｜完全週休2日(土日),上流工程に携われる【システムエンジニア】残業ほぼ無 正社員,正社員,
藤田商事株式会社 | 週休2日制/転勤・出張なし/諸手当充実/大阪府緊急雇用対策に賛同,梱包資材の専門商社で活躍！【ルート営業】★基本土日祝休み★ 正社員,正社員,380万円～450万円
高圧ガス工業株式会社 | #東証一部上場#育成採用#未経験スタートも歓迎#経験者は優遇,社内のITを支える新メンバーを採用!【社内SE】※賞与4.5ヶ月実績 正社員,正社員,
SCSKサービスウェア株式会社 | 東証一部上場・住友商事グループのSCSK株式会社100％出資,【ヘルプデスク(サポート事務)】◆土日休み/定時帰宅OK 正社員,正社員,400万円～630万円
株式会社みのり | 栃木・茨城で農業資材の大型専門店『農家の店 みのり』を運営,【販売スタッフ】経験・学歴・年齢不問／賞与昨年度平均5ヶ月 正社員,正社員,300万円～400万円
株式会社オートテクニックジャパン | 働きやすさ抜群 ★年休121日／残業月25h程度／有給取得率100％★,クルマづくりの最前線に挑む【技術系総合職(機械設計/CAE解析)】 正社員,正社員,350万円～400万円
株式会社日本ビジネスデータープロセシングセンター | 年休120日以上　★7月3日（土）マイナビ転職フェア神戸に出展★,自治体での【システム運用管理】兵庫県の官公庁(教育機関系)勤務 正社員,正社員,
株式会社ｔｔｔ | 今夏５・6施設目開設／全国PV数2位の施設／職員応募数が定員超え,入社1年目から事業の中心的存在に【総合職/施設管理・人事】 正社員,正社員,320万円～350万円
株式会社日本ビジネスデータープロセシングセンター | 年休120日以上＆完全週休2日制(土日)｜入社3年間の定着率90％越,官公庁関連の【サーバー管理】★大阪市の官公庁勤務！ 正社員,正社員,
イシダ産機株式会社 | 【イシダグループ】▼創業以来赤字決算なし！web面接実施中！,【システム担当兼総務】※年間休日120日以上 正社員,正社員,
福留ハム株式会社 | ◆創業102年！西日本大手の食品メーカー ◆週休2日制,【社内SE】自社システムの運用・保守、サポートを担当！未経験OK 正社員,正社員,
プレミアムウォーター株式会社 | プレミアムウォーターホールディングス（東証二部上場）グループ,【社内SE】◎20～30代活躍中 ◎完全週休2日制 ◎残業少なめ 正社員,正社員,440万円～800万円
株式会社エージェントゲート | 定着率94%★Web面談実施中★年収120万UPでスタートの経験者も！,【ITエンジニア】★年休130日★全員面談★残業は月平均5～10時間 正社員,正社員,264万円～600万円
パーソルワークスデザイン株式会社 | 東証一部上場「パーソルホールディングス」グループ,東京・神奈川勤務【ITヘルプデスク】★社員9割が残業月10h↓ 正社員,正社員,350万円～500万円
株式会社エージェントゲート | ★有給取得率100％★産休育休取得＆復帰率100％★定着率90％超★,【ITサポートスタッフ】年休130日以上＆残業なし☆全員面談☆ 正社員,正社員,264万円～600万円
株式会社ジェイテック | 【毎年、増収増益で黒字経営】★残業月平均11h ★完全週休2日制,条件UP保証【ITエンジニア】時間有休が取得しやすい★定着率90％ 正社員,正社員,300万円～580万円
株式会社カーネルジャパン | ★土日祝休み★年休125日以上★残業月20h以下★20代活躍中,【ITエンジニア】「ココ、面接に出ますよ～」を、載せています。 正社員,正社員,200万円～1500万円
株式会社ピーエスアンドエス | ★20代活躍中/Web面接OK/残業少なめ/案件選択OK/単価8割還元,【システムエンジニア】◆WEB開発◆ゲームアプリ 正社員,正社員,400万円～800万円
株式会社早稲田アカデミー | 《東証一部上場》圧倒的な合格実績！154校の進学・学習塾を運営,【情報システム部門スタッフ】◎休暇制度充実 ◎20～30代活躍中 正社員,正社員,350万円～600万円
株式会社ヴィアックス | <創業49年・エンジニアファーストで案件を選べる！>★定着率抜群,20～30代活躍中【開発エンジニア】★残業月10hほど★月30万円～ 正社員,正社員,400万円～800万円
株式会社リンカッド | 月給42万以上＋前給保証★全国各地で採用★テレワーク100％,"サービスも会社づくりも""全員参加""で挑める！【開発エンジニア】 正社員",正社員,504万円～1000万円
株式会社Vコレクタリア | ★土日祝休★年休125日～★残業月10h以下★20代中心★資格手当◎,＼未経験90%／【ITエンジニア】★やってみたい気持ちだけでOK！ 正社員,正社員,200万円～1500万円
アイコムシステック株式会社 | 東証1部企業グループ★残業月15h以下★年末年始に最大16連休OK,【社内SE】★土日祝休み★月給36万円以上★年休132日★学歴不問 正社員,正社員,400万円～1000万円
株式会社NEXCOシステムズ | NEXCOグループ唯一のIT企業◆年休120日以上/完週休2日(土日休み),NEXCOグループを支える【社内SE】★名古屋支店の新メンバー 正社員,正社員,400万円～800万円
株式会社NEXCOシステムズ | NEXCOグループ唯一のIT企業◆年休120日以上/完週休2日(土日休み),日本の高速道路を守る【システムエンジニア(業務系開発)】 正社員,正社員,400万円～800万円
株式会社NEXCOシステムズ | NEXCOグループ唯一のIT企業◆年休120日以上/完週休2日(土日休み),NEXCOグループの【システムエンジニア(Webオープン系開発等)】 正社員,正社員,400万円～800万円
株式会社システナ | ★東証一部上場 ★自社内開発5割以上・札幌/福岡は自社内100%,ロボット、AI・IoT、スマホアプリ等【WEBエンジニア】★土日休み 正社員,正社員,400万円～1500万円
ネットフォース株式会社 | ◆右肩上がりで連続成長中 ◆年間休日122日 ◆リモート8割！,【SE】☆自社パッケージ・社内受託・プライム・上流案件で活躍！ 正社員,正社員,400万円～800万円
パーパス株式会社 | TVCMでお馴染み！創業75年の歴史をもつ安定企業,住宅設備メーカーの【社内SE・PG】万全の育成制度でスキルアップ 正社員,正社員,350万円～450万円
株式会社エヌ・エフ・ユー | 日本福祉大学のグループ会社◆残業月10～30時間程／毎週土日休,活躍フィールドは、大人気の ”大学内”【校内SE】年間休日125日 正社員,正社員,350万円～500万円
株式会社エクシードキャリア | ＼20代で月給50万円以上も可能／…家族・子ども手当なども充実◎,先輩は100％未経験スタート！【人材コーディネーター】年休129日 正社員,正社員,294万円～624万円
HRNAVI JOINT STOCK COMPANY | ベトナムでの転職に特化した人材紹介会社です！,日系有力IT企業でのマーケティングシステム開発・保守【SE／PM】 人材バンク登録,人材バンク登録,
マツダ株式会社 | ――☆年間休日121日／原則土日祝休み／その他福利厚生充実,【IT企画・開発(アプリ)】★異業界出身歓迎★最先端領域で活躍 正社員,正社員,400万円～800万円
マツダ株式会社 | ――☆年間休日121日／原則土日祝休み／その他福利厚生充実,【IT企画・開発(インフラ)】★異業界出身歓迎★最先端領域で活躍 正社員,正社員,400万円～800万円
株式会社マイナビ | 「マイナビニュース」「マイナビウーマン」「マイナビ子育て」等,【社内SE】月間1億PV超／オウンドメディアの企画開発・運用担当 正社員,正社員,380万円～570万円
HRNAVI JOINT STOCK COMPANY | ベトナムでの転職に特化した人材紹介会社です！,大手インターネットグループでの【BrSE／PM】※ベトナム勤務 人材バンク登録,人材バンク登録,
株式会社クロスアクティブ | 東証一部上場のクロスキャットグループ！31年連続黒字の安定企業,【ITエンジニア（SE・PG・インフラ）】各種手当充実／賞与年2回 正社員,正社員,250万円～450万円
株式会社イシダ | はかりしれない技術を、世界へ。1893年創業の専門メーカー,上流工程から活躍できる【システムエンジニア】 正社員,正社員,400万円～750万円
ESRIジャパン株式会社 | 米国『Esri』社製品の総販売代理店,SESからのキャリアチェンジ歓迎【プロダクトSE】※賞与実績4ヶ月 正社員,正社員,450万円～650万円
株式会社イマジカデジタルスケープ | 【東証一部・IMAGICA GROUP】★土日祝休み★業界屈指の福利厚生,AIを活用した新規サービスに携わる【社内SE】★自社開発 正社員,正社員,429万円～580万円
株式会社セブン・カードサービス | セブン＆アイ・ホールディングス＜東証１部上場＞のグループ企業,電子マネー『nanaco』システム開発等に上流から携わる【社内SE】 正社員,正社員,450万円～800万円
株式会社東名 | 残業平均25h以内／名駅より徒歩5分,【社内SE】ファイルメーカーによるシステム開発／東証一部上場 正社員,正社員,300万円～450万円
株式会社電盛社 | ＜協和エクシオグループ＞ 創業以来100年以上無借金経営を継続！,【SE・PG】◎土日祝休み ◎年間休日121日 ◎福利厚生充実 正社員,正社員,350万円～450万円
株式会社インターネットイニシアティブ | (IIJ)◎東証一部上場 ◎コロナ禍でも売上高、営業利益ともにUP,【ソリューション営業】◎テレワーク導入 ◎フレックス勤務 正社員,正社員,500万円～800万円
株式会社 NTTデータ | 専業システムインテグレーターとして”2兆円”を超える売上高,【アプリ系システムエンジニア職(PM/SE/システム企画等)】 正社員,正社員,450万円～1000万円
株式会社ホットスタッフ | ［関東本部］★リフレッシュルーム＆フリードリンクあり,未経験から人気のオフィスワーク♪【総務事務スタッフ】土日休み 正社員,正社員,230万円～300万円
株式会社NTTデータ経営研究所 | 事業変革とイノベーションの専門集団,事業の創造と変革!【経営コンサルタント】※未経験OK 正社員,正社員,500万円～1000万円
株式会社テイジイエル | 【土日祝休み／有休も取りやすい】※大阪府緊急雇用対策に賛同,【インフラ系エンジニア・SE】テレワーク可能／年間休日126日 契約社員,契約社員,420万円～720万円
株式会社メソドロジック | ★株式会社SHIFT（東証一部上場企業）のグループ会社,【システムコンサルタント】エンタープライズ系の上流案件で活躍 正社員,正社員,
株式会社インテクア | 自分の10年後、20年後を、本気で見据えたいヤツだけに告ぐ――。,20代（今）を無駄にしたくないヤツだけ、来い。【ITエンジニア】 正社員,正社員,300万円～550万円
株式会社Olivier | 【札幌市ワーク・ライフ・バランスplus企業】コロナ完全対応企業,＼札幌募集／【自社内開発SE】★在宅勤務可・残業月5h程度 正社員,正社員,300万円～840万円
